legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isBasicEconomy,isRefundable,isNonStop,totalFare,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
9ca0e81111c683bec1012473feefd28f,2022-04-16,2022-04-17,ATL,BOS,PT2H29M,False,False,True,248.6,947.0,1650214620,2022-04-17T12:57:00.000-04:00,1650223560,2022-04-17T15:26:00.000-04:00,BOS,ATL,Delta,DL,Airbus A321,8940,947,coach
98685953630e772a098941b71906592b,2022-04-16,2022-04-17,ATL,BOS,PT2H30M,False,False,True,248.6,947.0,1650191400,2022-04-17T06:30:00.000-04:00,1650200400,2022-04-17T09:00:00.000-04:00,BOS,ATL,Delta,DL,Airbus A321,9000,947,coach
98d90cbc32bfbb05c2fc32897c7c1087,2022-04-16,2022-04-17,ATL,BOS,PT2H30M,False,False,True,248.6,947.0,1650209700,2022-04-17T11:35:00.000-04:00,1650218700,2022-04-17T14:05:00.000-04:00,BOS,ATL,Delta,DL,Boeing 757-200,9000,947,coach
969a269d38eae583f455486fa90877b4,2022-04-16,2022-04-17,ATL,BOS,PT2H32M,False,False,True,248.6,947.0,1650218340,2022-04-17T13:59:00.000-04:00,1650227460,2022-04-17T16:31:00.000-04:00,BOS,ATL,Delta,DL,Airbus A321,9120,947,coach
980370cf27c89b40d2833a1d5afc9751,2022-04-16,2022-04-17,ATL,BOS,PT2H34M,False,False,True,248.6,947.0,1650203940,2022-04-17T09:59:00.000-04:00,1650213180,2022-04-17T12:33:00.000-04:00,BOS,ATL,Delta,DL,Airbus A321,9240,947,coach
79eda9f841e226a1e2121d74211e595c,2022-04-16,2022-04-17,ATL,BOS,PT2H38M,False,False,True,248.6,947.0,1650206700,2022-04-17T10:45:00.000-04:00,1650216180,2022-04-17T13:23:00.000-04:00,BOS,ATL,JetBlue Airways,B6,,9480,947,coach
9335fae376c38bb61263281779f469ec,2022-04-16,2022-04-17,ATL,BOS,PT4H12M,False,False,False,251.1,956.0,1650198000||1650205620,2022-04-17T08:20:00.000-04:00||2022-04-17T10:27:00.000-04:00,1650203400||1650213120,2022-04-17T09:50:00.000-04:00||2022-04-17T12:32:00.000-04:00,CLT||BOS,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A320,5400||7500,228||728,coach||coach
3904bf87f2d1daf334f1ae7e3b876028,2022-04-16,2022-04-17,ATL,BOS,PT5H18M,False,False,False,251.1,956.0,1650198000||1650208800,2022-04-17T08:20:00.000-04:00||2022-04-17T11:20:00.000-04:00,1650203400||1650217080,2022-04-17T09:50:00.000-04:00||2022-04-17T13:38:00.000-04:00,CLT||BOS,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Boeing 737-800,5400||8280,228||728,coach||coach
d93988734c44a3c075d9efe373352507,2022-04-16,2022-04-17,ATL,BOS,PT5H32M,False,False,False,251.1,956.0,1650193200||1650205620,2022-04-17T07:00:00.000-04:00||2022-04-17T10:27:00.000-04:00,1650198060||1650213120,2022-04-17T08:21:00.000-04:00||2022-04-17T12:32:00.000-04:00,CLT||BOS,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A320,4860||7500,228||728,coach||coach
562e7d5dd6ecbf1509c0c19711dbdca9,2022-04-16,2022-04-17,ATL,BOS,PT6H38M,False,False,False,251.1,956.0,1650193200||1650208800,2022-04-17T07:00:00.000-04:00||2022-04-17T11:20:00.000-04:00,1650198060||1650217080,2022-04-17T08:21:00.000-04:00||2022-04-17T13:38:00.000-04:00,CLT||BOS,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,4860||8280,228||728,coach||coach
c38a6e4b807d15541e5866676febcbec,2022-04-16,2022-04-17,ATL,BOS,PT4H46M,False,False,False,252.6,947.0,1650187800||1650199020,2022-04-17T05:30:00.000-04:00||2022-04-17T08:37:00.000-04:00,1650194280||1650204960,2022-04-17T07:18:00.000-04:00||2022-04-17T10:16:00.000-04:00,IAD||BOS,ATL||IAD,United||United,UA||UA,Airbus A319||Boeing 737-800,6480||5940,541||406,coach||coach
f66d72ba3a526576608b8402b5720726,2022-04-16,2022-04-17,ATL,BOS,PT5H45M,False,False,False,252.6,1462.0,1650220740||1650233100,2022-04-17T14:39:00.000-04:00||2022-04-17T17:05:00.000-05:00,1650228840||1650241440,2022-04-17T15:54:00.000-05:00||2022-04-17T20:24:00.000-04:00,ORD||BOS,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,8100||8340,600||862,coach||coach
e7c4054e85cca9bc7134b3cc93deaf7c,2022-04-16,2022-04-17,ATL,BOS,PT5H59M,False,False,False,252.6,1462.0,1650232800||1650245700,2022-04-17T18:00:00.000-04:00||2022-04-17T20:35:00.000-05:00,1650240660||1650254340,2022-04-17T19:11:00.000-05:00||2022-04-17T23:59:00.000-04:00,ORD||BOS,ATL||ORD,American Airlines||American Airlines,AA||AA,Embraer 175||Boeing 737-800,7860||8640,600||862,coach||coach
